127.0.0.1 - - [18/Mar/2021:10:58:26 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Mar/2021:10:58:27 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:10:58:29 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [18/Mar/2021:10:58:38 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:16:38 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:16:39 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:16:42 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:17:17 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:17:20 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:17:58 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:17:59 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:18:08 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:20:01 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:20:02 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:20:08 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:20:21 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:20:33 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:49:12 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:49:13 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:49:19 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:49:22 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:49:29 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:49:40 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:50:38 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:50:44 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [18/Mar/2021:11:57:00 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:06:55 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:06:57 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:07:06 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:07:12 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:07:17 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:27:46 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:27:48 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 500 6659
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:29:50 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:29:51 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:30:03 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:41:23 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:41:25 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:41:35 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:45:30 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:45:31 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:45:39 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:45:57 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [18/Mar/2021:12:46:04 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:03:43 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:03:45 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:03:54 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:04:11 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:04:12 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:04:18 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:08:52 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:08:53 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:08:57 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:10:15 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:10:17 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [18/Mar/2021:13:10:27 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1086
